PHA 1 — 2285 bài, 5 tiến trình
  [pha1 50/2285] TRẦN   normal_0042
  [pha1 1989/2285] TRẦN   evaluation_hard_0116
  [pha1 1999/2285] TRẦN   evaluation_hard_0114
  [pha1 2000/2285] 44 phút, còn ~6 phút | {'GIỐNG': 1842, 'TRẦN': 143, 'ĐỔI': 15}
  [pha1 2007/2285] TRẦN   evaluation_hard_0130
  [pha1 2015/2285] TRẦN   evaluation_hard_0134
  [pha1 2037/2285] ĐỔI    evaluation_hard_0172
  [pha1 2043/2285] TRẦN   evaluation_hard_0162
  [pha1 2061/2285] TRẦN   evaluation_hard_0180
  [pha1 2105/2285] TRẦN   evaluation_hard_0188
  [pha1 2107/2285] TRẦN   evaluation_hard_0190
  [pha1 2153/2285] TRẦN   evaluation_hard_0196
  [pha1 2200/2285] 47 phút, còn ~2 phút | {'GIỐNG': 2034, 'TRẦN': 150, 'ĐỔI': 16}
  [pha1 2275/2285] TRẦN   evaluation_order5_0010
  [pha1 2277/2285] ĐỔI    evaluation_order5_0004
  [pha1 2279/2285] TRẦN   evaluation_order5_0006
  [pha1 2281/2285] TRẦN   evaluation_order5_0016
  [pha1 2284/2285] TRẦN   evaluation_order5_0014
PHA 2 — xác nhận tuần tự 171 ứng viên
/Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:224: UserWarning: resource_tracker: There appear to be 6 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
